english,russian,example,incorrectEnVariant1,incorrectEnVariant2,incorrectEnVariant3,incorrectEnVariant4,incorrectRuVariant1,incorrectRuVariant2,incorrectRuVariant3,incorrectRuVariant4
captors,похитители,"wondered who her captors were…",captains,captions,captures,captives,освободители,спасатели,защитники,помощники
muffled cries,приглушённые крики,"She'd heard muffled cries of pain.",ruffled cries,muffled fries,muffled ties,muffled flies,громкие крики,ясные звуки,отчетливые возгласы,звонкие голоса
diminishing number,уменьшающееся количество,"the diminishing number of places to store her piss…",finishing number,diminishing lumber,diminishing slumber,diminishing cucumber,увеличивающееся количество,постоянное число,стабильное количество,растущее число
dry rasp,сухой хрип,"The dry rasp that came out of her throat…",cry rasp,dry grasp,dry clasp,wry rasp,влажный хрип,мягкий голос,чистый звук,мелодичный тембр
faint rattle,слабый треск / хрип,"Another faint rattle in the throat.",paint rattle,faint battle,faint castle,faint kettle,громкий треск,сильный хрип,отчетливый звук,ясный шум
meaty thud,глухой тяжёлый удар,"A meaty thud as something was thrown inside.",neaty thud,meaty thug,beaty thud,hearty thud,легкий удар,тихий стук,нежный толчок,слабый звук
innocuous-looking,безобидного вида,"overwritten with innocuous-looking logs…",innocent-looking,inoculous-looking,incongruous-looking,incredulous-looking,угрожающего вида,опасного вида,подозрительного вида,агрессивного вида
time stamps,временные метки,"logs with false time stamps.",tame stamps,time stamps,time clamps,time scamps,постоянные метки,случайные отметки,ложные данные,фиктивные записи
rolled over,покорно подчинился,"Captain Darren had rolled over like a dog.",tolled over,rolled over,controlled over,enrolled over,активно сопротивлялся,упорно противостоял,решительно отказался,смело возразил
Mylar,майлар (тонкая плёнка),"The tube's thin layer of Mylar…",myler,mylor,milar,molar,толстая пленка,плотный материал,жесткое покрытие,прочная ткань
hard nothing,абсолютная пустота,"the only thing between them and hard nothing",card nothing,hard something,hard everything,hard anything,полная занятость,насыщенное пространство,заполненная область,густонаселенная зона
gauntleted fist,кулак в бронированной перчатке,"a gauntleted fist smashed into her face.",haunted fist,gauntleted list,gauntleted twist,gauntleted mist,открытая ладонь,незащищенная рука,обычная перчатка,легкий удар
bouts of consciousness,приступы сознания,"Shifting between bouts of consciousness…",droughts of consciousness,bouts of conscientiousness,bouts of unconsciousness,bouts of conscientious,периоды бессознательности,состояния сна,моменты забытья,интервалы отдыха
fragmented dreams,обрывочные сны,"and fragmented dreams…",fragmentary dreams,fragmented streams,fragmented screams,fragmented beams,цельные сны,ясные видения,логичные сновидения,последовательные грезы
pinnace,пинас (малый корабль),"a dream of racing her old pinnace…",pinace,pinnacle,pinch,prince,большой корабль,огромное судно,крупное транспортное средство,массивный лайнер
recyclers,рециркуляторы воздуха,"the quiet sound of the air recyclers.",recycles,recybers,recoilers,recorders,загрязнители воздуха,источники пыли,генераторы отходов,производители мусора
hoarse,охрипшая,"She yelled herself hoarse.",coarse,hoard,horse,hearse,звонкая,чистоголосая,мелодичная,свежая
waste bag,мешок для отходов,"her waste bag had been full…",taste bag,waste tag,haste bag,paste bag,мешок для продуктов,контейнер для ценностей,емкость для хранения,сумка для документов
atrophy,атрофия,"enough to start atrophy.",atropy,atopic,atonal,apology,развитие,рост,укрепление,улучшение
dojo,додзё, зал для тренировок,"like she was back in dojo.",dojō,doge,dose,doze,спальная комната,отдыхающая зона,развлекательный центр,игровая площадка
hinges,петли (дверные),"the three hinges and the locking bolt…",hinged,hinger,hangers,hinges,дверные ручки,оконные рамы,напольные покрытия,потолочные балки
hasp,запорная скоба,"no longer seated in the hasp…",hast,hash,haste,harps,открытый замок,свободный доступ,разблокированный механизм,отсутствующая защита
threatening,угрожающий,"ready to look either threatening or terrified…",treating,threating,threading,threshing,дружелюбный,приветливый,безопасный,спокойный
terrified,в ужасе,"threatening or terrified…",terrifier,terrific,terrain,territory,в восторге,в восхищении,в радости,в хорошем настроении
magnetized pipe wrench,магнитный трубный ключ,"She plucked a magnetized pipe wrench…",magnetized wipe wrench,magnetized type wrench,magnetized ripe wrench,magnetized hope wrench,немагнитный инструмент,обычная отвертка,простая палка,деревянный брусок
skull cracking,проламывание черепов,"of suitable size for skull cracking…",skill cracking,skull tracking,skull packing,skull tackling,лечение черепов,защита головы,восстановление костей,помощь пациентам
commissary,корабельная столовая,"Commissary, where there were signs of a struggle.",commissar,commisery,commiserate,commissioner,корабельная палуба,капитанский мостик,машинное отделение,грузовой отсек
unmanned,без экипажа / неработающий,"The comm station was unmanned, powered down…",unmapped,unmarked,unmasked,unmarred,укомплектованный,работающий,активный,функционирующий
powered down,отключён от питания,"unmanned, powered down, and locked.",powered up,powdered down,powered town,towered down,включенный,активированный,работающий,запущенный
sensor logs,журналы сенсоров,"The few sensor logs that still streamed…",sensor legs,sensor dogs,sensor lags,sensor logs,ручные записи,случайные заметки,преднамеренные искажения,фиктивные отчеты
dread knotted her gut,страх сжался в животе,"A new dread knotted her gut.",dead knotted her gate,dread knitted her gut,dread dotted her gut,dread potted her gut,радость наполнила ее живот,спокойствие расслабило ее,уверенность успокоила ее,удовольствие согрело ее
radiation leak,утечка радиации,"Something had happened. A radiation leak.",radiation peak,radiation lean,radiation leaf,radiation leak,утечка воды,утечка воздуха,утечка информации,утечка энергии
hatch,люк,"She reached the final deck hatch…",hatchet,hutch,hitch,harsh,дверь,окно,проход,коридор
sealed from the inside,запечатан изнутри,"the room had been sealed from the inside.",healed from the inside,sealed from the outside,dealed from the inside,veiled from the inside,открытый изнутри,доступный снаружи,разблокированный,свободный для входа
disarray,беспорядок,"Tools and containers in disarray.",disarm,disarray,disagree,disavow,порядок,организованность,аккуратность,систематизированность
prying tools,отжимные инструменты,"with a torch and prying tools…",crying tools,prying stools,prying pools,prying fools,строительные инструменты,кухонные принадлежности,садовое оборудование,канцелярские товары
compromised,повреждённый,"With the hydraulics compromised…",comprised,compromiser,compromising,composite,исправный,рабочий,функциональный,неповрежденный
hospital scent,запах больницы,"carrying a hospital scent…",hospital cent,hospital sent,hospital scene,hospital cent,аромат цветов,запах природы,дух свободы,аромат пищи
coppery smell,медный запах,"A coppery, nauseating smell.",copper smell,poppery smell,choppery smell,loppery smell,сладкий запах,цветочный аромат,фруктовое благоухание,свежий воздух
nauseating,тошнотворный,"A coppery, nauseating smell.",nauseous,nurturing,nautical,narrative,приятный,ароматный,благоухающий,свежий
vaulted,сводчатый,"The engineering deck was huge, vaulted like a cathedral.",vaunted,vaulting,vaulter,valuted,плоский,ровный,горизонтальный,прямой
dominated,доминировал / занимал центр,"The fusion reactor dominated the central space.",nominate,dominoed,domiciled,dominated,занимал угол,стоял в стороне,располагался с краю,находился на периферии
caked,покрытый коркой,"The mud caked around the reactor…",baked,cared,caged,caved,чистый,прозрачный,блестящий,отполированный
pulsed,пульсировал,"Parts of it pulsed.",pulsed,pursed,pulsed,pulsed,стоял неподвижно,был статичным,сохранял спокойствие,оставался неизменным
outcropping,выступ, вырост,"An outcropping of the thing shifted toward her.",outcropping,outcrying,outcrowding,outcruising,впадина,углубление,полость,низина
